R,G,B
256,221,175
255,221,175
255,221,174
255,221,174
254,221,175
254,221,175
254,221,174
254,222,175
254,221,175
254,222,175
254,221,175
254,222,174
254,221,175
254,221,174
254,222,174
254,221,174
254,222,175
254,221,175
254,222,174
254,222,174
254,222,174
254,222,174
254,222,175
254,222,175
254,222,175
254,221,174
254,222,175
254,221,174
254,222,175
254,222,175
254,221,174
254,222,175
254,222,175
254,222,175
254,222,174
254,222,175
254,222,174
254,222,174
254,222,175
254,222,174
254,222,174
254,222,174
254,222,175
254,221,175
254,222,174
254,221,174
254,222,175
254,221,175
254,222,175
254,221,175